POND #,PONDNAME,DATE,"LONG (NAD83,DD)","LAT (NAD83,DD)",SO4 (mg L-1),NO3 (mg L-1),Cl (mg L-1),F (mg L-1),ANC (µeq L-1),DIC (mg L-1),DOC (mg L-1),TOTAL P1 (mg L-1),TOTAL P2 (mg L-1),SIO2 (mg L-1),Ca (mg L-1),Mg (mg L-1),Na (mg L-1),K (mg L-1),NH4 (mg L-1),TDAl (µg L-1),TAl (µg L-1),Fe (mg L-1),Mn (mg L-1),Pb (mg L-1),Zn (mg L-1),FIELDPH,LAB_pH,AIR_EQ_pH,TRUCOLOR (PtCo),SCONDUCT (µmhos cm-1)
020168,ROLLINS POND,7/19/1984,74.40961111,44.32366944,5.04,0,0.35,0.06,122,1.35,6.4,0.01,0.01,3.4,3.3,0.71,0.75,0.32,0,20,,0.324,0.002,,,6.68,6.85,7.07,50,29
020169,UNNAMED POND,8/8/1986,74.41655556,44.32311389,4.34,,0.26,0.035,129.7,2.1,4.2,0.037,0.039,2.6,2.86,0.51,0.79,0.23,0.03,,,0.482,0,0,0.001,6.01,6.78,7.16,80,22.5
020170,ROCK POND,7/19/1984,74.42461111,44.32866944,4.6,0,0.34,0.069,101.9,1.26,5,0.009,0.01,1,3.09,0.51,0.76,0.28,0,2,,0.067,0,,,6.62,6.86,6.97,30,25.4
020172,UNNAMED POND,8/9/1985,74.41905556,44.32033611,2.04,0,0.14,0.023,214.8,3.13,6.3,0.015,0.014,0,5,0.35,0.08,0.19,0,,12,0.051,0.002,0,0.003,6.12,7.29,7.39,25,29
020173,WEST PINE POND,7/20/1984,74.42322222,44.33755833,5.53,0.02,0.33,0.07,143.7,1.35,4.1,0.006,0.005,3.7,3.54,0.56,0.86,0.24,,19,,0.034,0,,,6.23,6.9,7.13,15,29.1
020174,UNNAMED POND LOWER,7/19/1984,74.42461111,44.31728056,3.67,0,0.32,0.081,39,2.91,18.9,0.019,0.019,4.8,2.71,0.41,0.59,0.19,0,222,,1.043,0.031,,,5.08,5.22,5.46,120,23.4
020178,DEER POND,8/8/1986,74.42766667,44.30005833,2.66,,0.19,0.042,235.5,2.93,13.1,0.052,0.061,6.5,3.8,0.91,0.93,0.2,0.04,38,,1.967,0.07,0,0.001,6.58,6.91,7.32,180,29
020180,WHEY POND,7/19/1984,74.39877778,44.304225,3.67,0,0.36,0.064,254.2,3.1,2.7,0.008,0.011,11.5,3.13,1.04,0.89,0.34,0.02,5,,0.23,0.007,,,6.93,7.07,7.43,15,36.9
020181,DEER POND,7/19/1984,74.38766667,44.27616944,5.87,0,0.32,0.064,83.3,1.23,2.9,0.004,0.004,0.7,2.97,0.49,0.69,0.2,0,5,,0.004,0,,,6.54,7.03,6.76,5,26.7
020182,MUD POND,7/19/1984,74.39516667,44.26505833,5.1,0,0.29,0.074,170.4,2.13,4.6,0.015,0.017,6.8,4.31,0.6,0.89,0.17,0.02,40,,0.08,0.003,,,6.81,7.05,7.22,25,33
020183,GREEN POND,7/19/1984,74.34321944,44.33811389,4.83,0,1.02,0.041,171.4,2,3,0.013,0.012,4.5,3.32,0.82,1.14,0.56,0.01,7,,0.011,0,,,6.89,7.63,7.17,5,33.5
020184,12TH TEE POND,7/26/1984,74.341275,44.341725,3.92,,0.56,0.026,-5.6,0.5,4.3,0.015,0.021,0,1.07,0.24,0.31,0.46,0,36,,0.111,0.043,,,4.88,4.91,4.96,20,18
020186,RAT POND,7/19/1984,74.31127222,44.35283333,4.46,0,0.35,0.074,33.9,0.4,7.8,0.027,0.02,0.1,1.86,0.55,0.54,0.51,0,21,,0.113,0.002,,,6.12,6.28,6.3,50,20.3
020187,UNNAMED POND,8/31/1985,74.31127222,44.34616944,6.66,0,2.27,0.042,8.3,1.19,14.7,0.035,0.033,2.4,2.22,0.74,1.39,0.45,,,50,0.51,0.02,0,0.004,4.72,4.84,4.89,160,33.9
020188,SUNDAY POND,7/19/1984,74.30016111,44.34477778,3.38,0,0.21,0.041,11.1,0.32,4,0.008,0.01,0,0.88,0.44,0.05,0.31,0.01,9,,0.022,0.023,,,5.57,5.69,5.69,10,13.1
020189,UNNAMED POND,7/31/1986,74.30405,44.34811111,2.26,0,0.09,0.012,-45.3,0.05,4.2,0.02,0.006,5.5,0.14,0.12,0.06,0.09,0.01,,,0.047,0.022,0,0.003,4.43,4.36,4.38,20,18.4
020191,LITTLE CLEAR POND,8/8/1985,74.28543889,44.35533333,5.24,0,0.35,0.059,263.3,3.58,2.6,0.026,0.014,8,4.38,1.34,1.08,0.46,,,22,0.029,0.002,0.006,0.01,6.72,7.78,7.52,10,40.4
020191B,MCCAFFERY POND,7/24/1986,74.27766111,44.35727778,2.14,0,0.14,0.025,-29.8,0.53,3.9,0.011,0.009,0,0.2,0.08,0.05,0.11,0,10,,0.089,0.018,0,0.003,4.51,4.54,4.53,15,14.4
020192,LITTLE GREEN POND,8/8/1985,74.29738333,44.35866667,4.99,0,0.33,0.043,155.9,2.19,2.8,0.014,0.015,2,3.11,0.83,0.83,0.45,0.04,,9,0.003,0,0.003,0.004,6.55,7.61,7.27,5,28.9
020194,GRASS POND,7/28/1986,74.28932778,44.37227778,5.22,0,0.26,0.04,10.5,0.26,2.9,0.019,0.015,0,1.26,0.31,0.41,0.41,0,5,,0.003,0.006,0,0.007,5.73,5.95,5.78,5,17.5
020196,UNNAMED POND,8/11/1986,74.29793889,44.35144444,1.14,0,0.12,0.055,-12.9,0.97,8.4,0.021,,0.4,0.18,0.23,0.05,0.14,0.01,14,,0.083,0.016,0,0.007,4.57,4.65,4.65,35,12.8
020197,SOCHIA POND,7/26/1984,74.29432778,44.35227778,2.59,0,0.13,0.025,-21.1,0.46,2.1,0.018,0.012,0.1,0.46,0.09,0.04,0.13,0,5,,0.092,0.018,,,,4.63,4.68,10,12.7
020198,LAKE CLEAR OUTLET,7/18/1984,74.27682778,44.34838889,5.2,0,2.29,0.053,204.3,2.27,7.7,0.016,0.015,2.4,4.25,1.34,1.84,0.38,0,32,,0.49,0.03,,,6.92,6.96,7.3,60,44.5
020200,LINDSEY POND,7/28/1986,74.27655,44.37116667,1.33,0,0.09,0.023,-17.3,1.52,4.4,0.025,,0,0.2,0.07,0.07,0.22,0,8,,0.065,0.02,0,0.019,4.76,4.76,4.76,20,9.8
020201,ST. GERMAIN POND,7/28/1986,74.26126944,44.3795,2.91,0,0.17,0.037,-8,0.28,4.8,0.017,0.029,0,0.56,0.18,0.15,0.36,0,33,,0.087,0.037,0,0.008,4.97,4.99,4.93,20,12.7
020203,MEADOW POND,7/28/1986,74.27210556,44.38255556,4.82,0,0.21,0.037,35.3,0.54,5.3,0.037,0.031,0,1.39,0.5,0.42,0.46,0,10,,0.107,0.028,0,0.005,6.05,6.44,6.35,30,18.1
020204,CONLEY LINE POND,7/12/1985,74.27738333,44.36894444,3.71,0,0.12,0.023,-35.8,0.28,7.4,0.013,0.013,0,0.76,0.17,0.18,0.34,,,41,0.052,0.044,0.002,0.006,4.48,4.42,4.52,25,22.4
020205,BLACK POND,7/18/1984,74.26682778,44.31727778,8.24,0,0.37,0.043,93.6,0.83,8.7,0.007,0.008,7.9,3.81,0.73,1.2,0.2,0,153,,0.042,0.003,,,6.42,6.78,6.83,80,35.5
020206,PORKCHOP POND,8/3/1984,74.30266389,44.29116944,3.98,0,0.55,0.042,233.6,4.94,16.9,0.084,0.089,5.8,5.55,0.69,1.39,0.87,0,144,,0.304,0.049,,,6.01,6.28,6.98,110,38.8
020207,TAMARACK POND,7/19/1984,74.29099722,44.26755833,4.16,0,0.33,0.058,98,2.09,18.6,0.034,0.032,6.6,3.32,0.75,1.1,0.23,0,114,,0.288,0.023,,,5.65,5.79,6.38,180,28.2
020208,LITTLE WELLER POND,7/18/1984,74.27182778,44.27838889,8.96,0,0.4,0.033,96.1,2.52,9.4,0.016,0.023,7.6,4.57,0.74,1.09,0.21,0,192,,0.11,0.014,,,5.84,6.06,6.75,90,39
020209,WELLER POND,7/18/1984,74.27293889,44.27838889,7.48,0,0.4,0.034,74.5,0.57,5.3,0.007,0.009,2.5,3.34,0.55,0.87,0.2,0,40,,0.015,0.001,,,6.56,6.75,6.64,25,30.4
020211,MUD POND,7/17/1984,73.67180556,44.56143333,5.85,0,0.21,0.061,156.1,2.27,5.6,0.017,0.018,1.6,5.17,1.18,0.55,0.24,0,9,,0.048,0.001,,,6.37,7.2,7.21,25,37.5
020223,UNNAMED POND,8/8/1985,73.71625278,44.48088056,0.09,0,0.35,0.039,50.4,1.69,20.5,0.238,0.228,1,1.02,0.35,0.32,1.15,0.02,,60,0.331,0.104,0.002,0.007,5.67,5.61,6.13,140,12.7
020224,SLUSH POND,7/18/1986,73.73236389,44.51115833,5.63,0,0.29,0.068,212.1,3.16,8.7,0.021,,4.1,4.12,1.48,1.05,0.36,0.01,26,,0.063,0,0,0,6.58,7.06,7.43,50,39.8
020225,MILITARY POND,7/18/1986,73.72708611,44.5481,6.02,0,0.27,0.07,356.2,4.75,6.7,0.02,0.02,1.9,5.33,1.86,0.97,0.2,0,15,,0.132,0,0,0,6.54,7.19,7.64,50,49.3
020225B,ALLEGANY BROOK POND,7/16/1985,73.77569722,44.54254444,3.41,0,0.33,0.077,224.5,3.52,13.8,0.032,,0.4,4.78,1.23,0.73,0.09,0.03,,81,0.845,0.015,0,0.002,6.38,6.61,7.17,100,35
020227A,ONCIO POND,7/25/1986,73.89736667,44.44338056,5.25,0,1.14,0.058,565.2,6.74,10.9,0.084,,5.2,8.3,2.08,1.25,0.84,0,56,,0.336,0.001,0,0.002,7.24,7.62,7.83,70,71.4
020228,MUD POND,8/8/1985,73.83708889,44.505325,6.27,0.02,0.81,0.104,302.9,6.06,12.1,0.056,0.052,5.4,5.08,1.74,1.52,0.34,0.49,,103,0.46,0.015,0.003,0.007,6.27,6.54,7.51,100,50.6
020229,MORGAN(COOPER KILL) POND,7/19/1984,73.84931111,44.42421389,8.53,0,0.26,0.06,132.1,2.04,6.1,0.054,0.041,2.7,5.62,0.72,0.69,0.06,0.01,133,,0.11,0.007,,,7.22,7.37,7.19,25,41
020232,WARREN POND,8/20/1984,73.91709167,44.33088056,7.43,0,0.39,0.065,88.1,1.35,9.9,0.034,0.032,2.9,4.37,0.58,0.67,0.46,0.01,86,,0.048,0.013,,,6.1,6.72,6.84,30,34.1
020233,OWEN POND,7/24/1984,73.90292222,44.32310278,7.87,0.15,0.39,0.006,108.5,1.34,4.8,0.008,0.004,6.8,4.46,0.68,0.74,0.24,0,75,,0.135,0.015,,,6.3,6.91,6.96,10,35.1
020234,COPPERAS POND,7/23/1984,73.89792222,44.32921389,6.23,0,0.44,0.034,143.3,1.67,3.2,0.006,0.004,0.5,3.53,1.08,0.54,0.31,,1,,0.005,0.001,,,6.52,7.33,7.2,5,32.6
020235,MARSH POND,7/17/1986,73.89375556,44.32615833,8.96,0.05,0.43,0.027,147.1,2.58,8.1,0.021,0.022,4,4.12,0.99,0.79,0.24,0.04,122,,0.094,0.018,0,0.003,6.44,6.59,7.13,60,38.6
020236,WINCH POND,7/23/1984,73.88903333,44.33171389,8.05,0,0.47,0.032,118,4.04,8.8,0.022,0.02,4.7,5.22,0.87,0.71,0.42,,109,,0.23,0.072,,,6.07,6.16,7.13,35,40
020238,MARSH POND,7/23/1984,73.88153333,44.32921389,7.26,0,0.39,0.038,74.4,1.16,7,0.008,0.009,4.5,3.64,0.59,0.7,0.3,,136,,0.397,0.036,,,6.33,6.4,6.84,40,29.7
020240,LITTLE CHERRY PATCH POND,7/23/1984,73.93820278,44.30143611,6.46,0,37.9,0.059,236.8,5.67,12.2,0.038,0.034,3.4,8.98,2.67,21.5,0.48,0,77,,0.46,0.055,,,6.17,6.29,7.37,100,187.5
020241,BIG CHERRYPATCH POND,7/23/1984,73.94264722,44.29421389,8.16,0,28.7,0.059,208.1,5.06,14.6,0.028,0.024,8.2,7.54,2.12,12.99,0.36,0,108,,0.4,0.11,,,6.07,6.17,7.33,120,127.3
020242,TOM PECK POND,7/23/1984,73.94209167,44.307825,6.87,0,1.14,0.061,185.1,2.02,5.8,0.013,0.012,4.8,4.06,1.3,1.2,0.33,0,13,,0.048,0.001,,,6.54,7.34,7.41,30,39.5
020243,CONNERY POND,7/23/1984,73.93459167,44.30643611,8.24,0,0.4,0.048,196,1.51,4.6,0.007,0.006,3.6,4.79,0.96,0.7,0.27,,6,,0.015,0.001,,,6.18,7.38,7.25,15,38.5
020244,LONG POND,7/23/1984,73.92875833,44.31643611,7.67,0,0.38,0.058,110,1.27,7.4,0.01,0.012,4.7,4.32,0.74,0.66,0.21,0,24,,0.029,0.003,,,6.42,6.84,6.99,45,35.3
020245,DUCK POND,7/22/1985,73.92875833,44.31726944,6.33,0,0.27,0.031,154.3,3,8.9,0.032,0.036,3.2,4.71,0.84,0.68,0.17,0,,62,0.145,0.03,0.002,0.372,6,6.56,7.22,70,35.6
020246,COLDSPRING POND,7/23/1984,73.92598056,44.325325,8.78,0,0.4,0.049,139.1,2.25,6.4,0.01,0.01,3.8,5.17,0.84,0.7,0.26,,46,,0.051,0.03,,,6.3,6.67,7.18,35,40.3
020247,MALCOLM (HOLCOMB) POND,7/23/1984,73.92459167,44.28976944,7.49,0,0.29,0.052,216.5,3.17,5.6,0.012,0.012,5.2,5.35,0.96,0.79,0.14,0,15,,0.201,0.012,,,6.39,6.73,7.49,25,41.6
020249,NEWMAN POND,7/18/1986,73.98320556,44.27699167,7.01,0.14,2.87,0.042,222.8,2.98,4.8,0.016,0.013,5.8,4.87,1.02,1.86,0.28,0,51,,0.166,0.038,0,0.004,6.8,7.1,7.38,35,49.2
020251,ECHO LAKE,7/23/1984,73.965425,44.29588056,8.15,0,1.69,0.07,,1.45,5.7,0.016,0.014,3.2,4.03,1.28,1.28,0.23,0.01,24,,0.071,0.003,,,6.37,7.23,7.23,25,40.5
020255,BARTLETT POND,7/19/1984,74.02070556,44.332825,5.4,0,0.2,0.06,13.4,0.89,8,0.023,0.032,0.9,1.99,0.3,0.46,0.1,0.01,207,,0.114,0.084,,,5.4,5.3,5.48,70,21.4
020257,UNNAMED POND,7/18/1984,74.01070556,44.267825,5.92,0.04,0.63,0.045,166.1,1.9,10.3,0.056,0.166,9.2,4.06,0.97,1.1,0.13,0.01,160,,0.49,0.029,,,6.41,6.75,7.06,120,37
020258,ROUND LAKE,7/24/1984,73.9057,44.22865833,7.51,0,0.34,0.052,32.9,0.61,3.4,0.015,0.016,1.3,2.84,0.56,0.46,0.26,0,18,,0.092,0.015,,,6.06,6.43,6.49,15,25.3
020258A,UNNAMED POND,7/18/1986,73.95181389,44.22699167,5.98,0.13,8.78,0.046,431.2,7.12,7.9,0.046,0.063,13.8,8.24,2.04,3.78,0.26,0,90,,0.342,0.053,0,0.002,6.39,6.81,7.68,80,81.7
020259,UNNAMED POND,7/18/1986,73.88375556,44.24226944,7.97,0.03,0.11,0.032,85.6,1.83,3.5,0.016,0.041,7.2,3,0.59,0.62,0.09,0,84,,0.238,0.038,0,0.001,6.14,6.45,6.93,25,28.4
020261,SCOTT POND,8/16/1984,74.03765,44.14866389,5.42,0.03,0.17,0.033,-14.4,0.96,6.6,0.017,0.023,5.5,1.26,0.21,0.31,0.11,0.02,400,,0.302,0.029,,,4.55,4.73,4.74,35,24.3
020263,UNNAMED POND,8/16/1984,74.04653889,44.14783056,5.55,0.03,0.11,0.01,-38.9,0.78,8.7,0.006,0.007,3.1,1.06,0.14,0.21,0.02,0.01,610,,0.115,0.021,,,4.16,4.42,4.41,45,30.2
020264,HEART LAKE,7/8/1985,73.96709167,44.17977222,4.54,0.03,0.25,0.017,29.5,0.38,2.7,0.01,0.014,1.2,2.05,0.26,0.47,0.13,0.05,,40,0.003,0.006,0.001,0,6.15,6.59,6.52,10,
020265,MARCY DAM POND,7/9/1985,73.95264444,44.15894167,5.14,0.16,0.2,0.012,-3.1,0.58,3.3,0.003,0.004,5.9,1.74,0.26,0.54,0.11,0.03,,258,0.047,0.023,0.002,0.001,5.35,5.46,5.51,15,
020267,UNNAMED POND(LAKE EATON),7/12/1985,73.71625,44.415325,7.47,0,4.51,0.069,512.4,5.71,12,0.026,0.035,1,9.18,3.19,3.31,0.09,,,56,0.595,0.011,0.002,0.002,8.12,6.2,7.78,80,81.6
020268,CLEMENTS POND,7/22/1985,73.76069444,44.31615833,3.7,0,0.28,0.018,191.1,5.47,13.4,0.046,,1.8,3.82,1.41,0.71,0.29,0,,22,0.385,0.025,0.001,0.003,5.91,6.21,7.31,120,32.1
020269,UNNAMED POND,7/18/1984,73.87958889,44.24754722,4.86,0,0.27,0.045,158.8,1.68,9,0.074,0.08,5.1,3.9,0.9,0.84,0.23,0,128,,0.515,0.055,,,7.05,6.89,6.89,70,34.1
020270,LOWER CASCADE LAKE,7/24/1984,73.86014444,44.237825,7.29,0,21.38,0.042,199.2,2.44,2.7,0.01,0.006,4.3,7.15,1.38,12,0.22,0.03,,,0.009,0.001,,,6.41,7.33,7.13,10,116.9
020271,UPPER CASCADE LAKE,7/24/1984,73.87403333,44.22449167,6.87,0,27.5,0.036,190.7,2.29,2.7,0.003,0.008,5.2,7.37,1.58,11.01,0.22,0.04,,,0.017,0.001,,,6.32,7.33,7.29,10,112
020271A,MUD POND,7/16/1986,73.89458889,44.21671389,3.46,0.02,3.6,0.014,14.1,1.57,9.5,0.18,0.2,0.3,1.22,0.3,1.82,0.18,,667,,0.078,0.028,0,0.01,5.04,5.15,5.19,117,27.5
020272,LOST POND,7/25/1984,73.71263889,44.25699167,3.41,0,0.27,0.032,141.9,2.11,13.7,0.024,0.037,3.8,3.64,0.75,0.5,0.34,0,123,,0.22,0.023,,,6.13,6.48,7.06,90,25.3
020272A,HIGHLAND FARM POND,7/17/1986,73.75319444,44.295325,8.98,0,0.41,0.099,584.7,7.85,4.2,0.016,,7.4,8.26,2.7,1.22,0.34,0.01,42,,0.027,0.007,0,0.001,7.35,7.84,7.78,10,74.8
020273,GIANT WASHBOWL,7/18/1984,73.73846944,44.14393889,6.53,0,0.25,0.024,144,1.59,4.9,0.056,0.424,2.7,4.82,0.52,0.6,0.1,0,42,,0.031,0.004,,,6.95,6.66,7.12,15,34.6
020274,CHAPEL POND,7/16/1986,73.75208056,44.14116111,5.23,0.04,0.86,0.01,77.8,1.23,2.6,0.014,0.01,6.3,2.59,0.33,1.01,0.05,,53,,0.035,0.005,0,0.002,6.38,6.9,6.95,10,27.5
020276,LOWER AUSABLE LAKE,7/8/1985,73.82458333,44.11810833,5.41,0.14,0.22,0.036,57.6,0.69,3.2,0.014,0.025,5.8,2.62,0.41,0.6,0.13,0.01,,158,0.072,0.025,0.001,0,6.24,6.7,6.63,15,
020277,UPPER AUSABLE LAKE,7/8/1985,73.86236111,44.08422222,5.51,0.13,0.2,0.02,71.3,0.95,3.5,0.031,0.019,5.8,2.72,0.43,0.69,0.13,0.02,,168,0.091,0.022,0,0,6.5,6.88,6.84,25,
020286,FRANCES LAKE,7/24/1985,73.51124444,44.35810556,5.5,0,0.43,0.04,647.7,8.66,8.6,0.023,,7.5,11.76,2.52,1.37,0.19,0,,17,0.103,0.003,0,0.006,6.58,7.55,7.86,45,79.4
020288,BIG POND,7/25/1986,73.55624444,44.28477222,6.38,0,1.72,0.039,538.3,11.56,10.5,0.04,0.032,6.8,9.32,1.92,1.32,0.07,0,22,,0.446,0.03,0,0.004,6.31,6.53,7.71,70,75.4
020288A,THRALL DAM POND,7/24/1985,73.55624444,44.26477222,22.41,0,0.39,0.033,1062.4,14.08,4.5,0.048,0.042,12.5,22.23,4.97,3.77,0.34,0,,83,0.63,0.044,0,0.016,6.78,7.7,8.07,40,159.4
020292,COPPER (COPPERAS) POND,7/24/1985,73.58235833,44.38615833,7.91,0,0.36,0.082,277.5,3.68,7.1,0.021,0.01,3.7,6.72,1.38,0.86,0.27,0,,49,0.101,0.002,0,0.004,6.22,7.41,7.49,30,52.3
020297,NESBIT POND,7/17/1986,73.58485833,44.38310278,6.7,0,0.4,0.062,113.9,1.72,7.2,,0.015,2.5,2.82,0.91,0.68,0.17,0,47,,0.068,0.008,0,0.003,6.21,6.64,6.96,40,30.9
020298,ROUND POND,7/23/1985,73.58874722,44.38393611,7.85,0,0.49,0.064,117.1,1.6,6.8,0.03,0.019,2.3,3.95,1.03,0.83,0.15,0,,44,0.023,0.002,0.001,0.003,6.02,7.01,7.28,25,35.8
020301,CLEAR POND,7/17/1986,73.59596944,44.37976944,8.54,0,0.35,0.03,221.2,3.22,4,,0.014,3,5.25,0.92,0.75,0.16,0,16,,0.028,0.005,0,0,6.42,7.42,7.35,15,44.3
020306,TROUT POND,7/23/1985,73.57180278,44.415325,8.53,0,1.14,0.037,358.8,4.67,5.2,0.023,0.022,3.5,7.33,1.87,1.21,0.16,0,,85,0.014,0,0.001,0.009,6.25,7.77,7.81,15,61.8
020309B,DOYLE POND,7/25/1986,73.65152778,44.39949167,7.49,0,0.29,0.038,502.2,5.82,7.7,0.017,0.012,2.4,8.79,1.22,0.91,0.05,0,39,,0.237,0,0,0,8.08,8.84,7.83,30,66.8
020313,LITTLE NICHOLS POND,8/1/1985,73.53846389,44.16338611,6.36,0,0.41,0.024,74.4,1.04,10.9,0.019,0.018,0.9,3.05,0.9,0.67,0.25,0.01,,112,0.064,0.006,0,0.001,6.14,6.34,6.58,90,28.3
020314,NICHOLS POND,8/5/1985,73.51929444,44.15394167,5.29,0,0.4,0.025,189.5,2.58,6.2,0.014,0.011,0.5,4.52,0.92,0.68,0.16,,,26,0.017,0,0,0.001,6.63,7.13,7.29,15,34.5
020316,RUSSET POND,7/25/1984,73.55985278,44.11616389,5.16,0,11.3,0.06,209.6,2.55,7.3,0.011,0.011,3.2,5.75,1.34,4.86,0.24,0,22,,0.39,0.011,,,6.39,6.89,7.02,70,62.2
020317,MURREY (SMOKEY) POND,7/25/1984,73.55624167,44.11366389,4.87,0,10.7,0.066,201.7,3.64,9.7,0.011,0.013,3.3,5.69,1.29,4.8,0.16,0,36,,0.335,0.009,,,6.11,6.51,7.32,90,62.2
020318,MILL POND,7/25/1984,73.55290556,44.11283056,4.84,0,10.75,0.063,169.3,3.02,9.8,0.027,0.011,4,5.79,1.34,4.97,0.21,0.01,39,,0.335,0.022,,,6.19,6.7,7.26,90,62.3
020319,TANAHER POND,7/25/1984,73.54985,44.109775,4.53,0,26.35,0.058,181.7,4.16,10,0.024,0.023,6.6,7.31,1.74,11.13,0.26,0,62,,0.315,0.008,,,6.12,6.46,7.3,100,106.7
020320,FIFTH POND,7/14/1986,73.54123889,44.11255278,4.34,0.01,0.29,0.043,64.9,,7.1,0.041,,2.1,1.82,0.69,0.59,0.07,0,40,,0.077,0.002,0,0,6.03,6.28,6.66,50,22.6
020322,WINDSOR POND,7/25/1986,73.56957778,44.23810556,6.35,0,23.92,0.04,845,11.23,5.9,0.035,0.04,12.4,13.9,4.4,10.29,0.31,0.01,37,,0.827,0.008,0,0.004,7.12,7.39,7.93,45,173.4
020325,KILKENNY BROOK POND,7/10/1985,73.60235556,44.21032778,7.5,0,1.56,0.032,628.2,9.21,4.4,0.066,0.066,10.8,10.93,2.88,2.22,0.42,0,,64,0.71,0.058,0,0.015,6.69,7.21,7.63,50,81.9
020326,LITTLE POND,7/16/1986,73.57818611,44.18088333,7.17,0,48.39,0.026,524.2,6.59,5.1,0.015,0.011,4.8,12.82,3.84,22.44,0.31,0,26,,0.021,0,0,0,6.68,7.95,7.82,20,230.9
020327,BULLET POND,7/15/1986,73.72318889,44.12310833,3.35,0.01,0.02,0.004,55.9,,10.2,0.052,0.074,1.8,2.17,0.24,0.19,0,0,219,,0.055,0.004,0,0.006,5.97,6.16,6.63,70,15.4
020329,ROUND POND,7/25/1984,73.73208056,44.12394167,4.39,0,0.2,0.023,72.2,0.99,2.4,0.005,0.004,4.8,2.74,0.29,0.48,0.05,0,,,0.006,0.001,,,6.18,6.92,6.86,10,21
020330,LILYPAD POND,7/27/1984,73.72374444,44.10060833,5.66,0,0.46,0.02,264.8,4.03,6.4,0.015,0.021,4.6,5.21,1.02,1.42,0.11,0,186,,0.101,0.006,,,6.58,6.75,7.58,40,39.9
020332,CRANBERRY POND,7/27/1984,73.70846667,44.10616389,1.25,0,0.04,0.027,4.9,0.75,10.3,0.042,0.047,1.3,0.89,0.14,0.06,0.03,0,51,,0.16,0.02,,,4.84,4.91,4.99,90,10.7
020333,RHODODENDRON POND,7/27/1984,73.71318889,44.10421944,4.53,0,0.28,0.026,33.1,0.88,6.9,0.034,0.032,1.9,2,0.2,0.46,0.09,0,113,,0.066,0.006,,,5.77,5.84,6.34,50,16.1
020333D,WESTPORT F&G CLUB PD #3,7/14/1986,73.46901667,44.15894167,5.99,0.01,1.83,0.03,874.8,,8.9,0.043,0.078,0.6,12.7,5.22,1.77,0.35,0.09,18,,0.128,0.006,0,0,7.12,7.69,7.97,35,107.3
020337,UNNAMED POND,7/10/1985,73.48790278,44.06533333,12.78,0.01,3.86,0.105,931.2,11.59,3.5,0.022,0.023,5.2,17.81,3.77,3.25,0.36,0,,38,0.148,0.003,0,0.003,7.58,7.96,7.91,20,126.9
020339,MUD POND,8/5/1985,73.50790556,44.119775,5.48,0,0.34,0.024,123.8,1.64,7.6,0.013,0.013,0.2,4.15,0.47,0.71,0.06,,,67,0.03,0.011,0,0.002,7.2,6.9,7.06,35,29.1
020340,NORTH POND,8/5/1985,73.51346111,44.12783056,5.73,0,0.38,0.019,73.4,1.15,4.6,0.008,0.017,1.5,3.19,0.41,0.67,0.08,,,48,0.02,0.01,0,0.001,6.4,6.82,6.87,15,25.1
020341,ROE'S (MILL) POND,7/14/1986,73.53901667,44.089775,6.01,,21.39,0.059,424.1,6,4.1,0.014,0.03,9.3,10.04,2.46,11.1,0.45,0,,,0.234,0.027,0,0,6.71,7.28,7.54,35,131.8
020342,ENSIGN POND,7/15/1986,73.60179444,44.03311111,3.4,0.01,2.03,0.025,255.9,,8.8,0.057,0.061,1.6,4.59,0.74,1.5,0.08,0.05,26,,0.21,0.013,0,0,6.42,6.67,7.44,43,
020343,PARCH POND,8/13/1985,73.60318333,44.04033333,3.32,0,0.3,0.038,86.5,1.2,3.3,0.006,0.005,0.4,2.52,0.43,0.42,0.12,,,9,0.014,0,0,0.008,6.43,6.97,7.11,10,20.2
020344,SMITH POND,8/12/1985,73.58012778,44.02561111,3.15,0,0.41,0.029,389.6,4.96,8.2,0.062,0.059,4.9,6.92,1.37,0.75,0.28,,,,0.033,0.005,0,0.002,7.11,7.51,7.59,45,46.8
020345,LOWER ROCKPORT POND,8/4/1986,73.57707222,44.01783333,3.71,0,0.22,0.022,131.6,2.11,6.6,0.005,0.007,0.9,3.95,0.51,0.63,0.08,0,42,,0.072,0,0.001,0.005,6.4,6.71,7.13,35,25.6
020345A,TUB MILL POND,8/12/1985,73.58429444,44.02588889,5.32,0.01,0.3,0.027,235.1,3.24,5.6,0.013,0.009,1.6,5.69,0.8,0.57,0.15,,,44,0.069,0.005,0,0.005,6.86,7.26,7.39,20,39.2
020346,BIG LOCK POND,8/13/1985,73.58262778,44.01588889,4.66,0,0.28,0.025,148.5,2.23,4.4,0.015,0.012,1.6,4.13,0.54,0.6,0.12,,,17,0.016,0.001,0,0.001,6.52,6.95,7.35,10,29.8
020347,UPPER FEEDER POND,8/13/1985,73.58068333,44.01366667,3.27,0,0.19,0.031,207.5,3.4,8.1,0.031,,0.4,5.19,0.46,0.45,0.08,,,49,0.135,0.003,0,0.003,6.34,6.69,7.42,35,32.2
020348,BULLPOUT POND,8/5/1985,73.53151389,44.00422222,7.09,0,0.27,0.037,763.1,9.7,9.1,0.027,0.025,5.4,16.44,1.67,0.72,0.4,,,35,0.023,0.002,0,0.001,7.05,7.43,7.86,35,88.1
